Region,Malls,lng,lat
Central,313@Somerset,103.838394,1.300985
Central,Aperia,103.864247,1.309581
Central,Balestier Hill Shopping Centre,103.842639,1.325577
Central,Bugis Cube,103.855574,1.298161
Central,Bugis Junction,103.855553,1.299341
Central,Bugis+,103.854212,1.299577
Central,Clarke Quay Central,103.846676,1.289125
Central,The Centrepoint,103.839793,1.302112
Central,City Square Mall,103.856692,1.311472
Central,Far East Plaza,103.833657,1.30707
Central,Great World City,103.831966,1.293488
Central,Holland Village Shopping Mall,103.795502,1.310375
Central,ION Orchard,103.831986,1.304015
Central,Knightsbridge,103.836273,1.302927
Central,Liang Court,103.844718,1.291577
Central,Lucky Plaza,103.834011,1.304387
Central,Marina Bay Sands,103.860722,1.283552
Central,Mustafa Shopping Centre,103.855282,1.310044
Central,Ngee Ann City,103.834557,1.302557
Central,Orchard Central,103.839746,1.300674
Central,Orchard Gateway,103.839318,1.300806
Central,Orchard Point,103.840573,1.301439
Central,Orchard Shopping Centre,103.837775,1.301607
Central,Pacific Plaza,103.832188,1.306369
Central,Paragon Shopping Centre,103.835765,1.303633
Central,People's Park Centre,103.843991,1.285714
Central,People's Park Complex,103.842688,1.284149
Central,Plaza Singapura,103.84534,1.301022
Central,PoMo,103.848936,1.299945
Central,Raffles City,103.853285,1.293876
Central,Scotts Square,103.832977,1.305859
Central,Serangoon Plaza,103.855263,1.310883
Central,Shaw Centre,103.83189,1.306188
Central,Sim Lim Square,103.85297,1.303048
Central,Singapore Shopping Centre,103.844221,1.2981
Central,Tanglin Mall,103.823887,1.304917
Central,Tangs,103.845516,1.280729
Central,Tanjong Pagar Centre,103.846089,1.277106
Central,Tekka Centre,103.850675,1.30624
Central,The Verge,103.851445,1.305105
Central,Wheelock Place,103.830748,1.304781
Central,Wisma Atria,103.8329,1.303656
Central,Zhongshan Mall,103.846509,1.327012
Marina Centre,Marina Bay Financial Centre Tower 3,103.854598,1.279114
Marina Centre,Marina Bay Link Mall,103.853755,1.280431
Marina Centre,Marina One,103.852718,1.282331
Marina Centre,Marina Square,103.857155,1.291081
Marina Centre,Millenia Walk,103.859691,1.292793
Marina Centre,Suntec City,103.859957,1.295113
Marina Centre,CityLink Mall,103.855057,1.292149
Marina Centre,The Shoppes at Marina Bay Sands,103.859515,1.284082
East,112 Katong,103.904633,1.305511
East,Bedok Mall,103.929297,1.324903
East,Bedok Point,103.932357,1.324978
East,Century Square,103.943812,1.352421
East,Changi Airport,103.991402,1.364377
East,Changi City Point,103.963043,1.334
East,City Plaza,103.893446,1.314753
East,Downtown East,103.954858,1.376383
East,East Village,103.946306,1.331658
East,Eastpoint Mall,103.953032,1.342838
East,Katong Square,103.904304,1.305083
